kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,1.78**2,6.662464279097688,2.581174980333121,-207.649408429713219,2.513748994311087,-0.000886408227643,-0.054365225582313,-207.058147596042630
DotProduct(sigma_0=1),DotProduct(sigma_0=1.36),0.909598495204654,0.953728732504507,-195.575693028399201,0.947310676522267,0.844377030041711,0.856051907761121,-22.068969094305640
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.00357, periodicity=4.66e+04)",2.284655833292979,1.511507801267655,-198.179853835348126,1.325694051214674,0.809315558887519,0.638442840045645,-113.240819077738237
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=33.6, nu=1.5)",2.386064415570926,1.544689099971553,-198.526945739031476,1.370118437269514,0.799821828780963,0.622394471416500,-118.021994888570816
RBF(length_scale=1),RBF(length_scale=26.5),2.284655361009482,1.511507645038384,-198.179852598038451,1.325693823423580,0.809315566438008,0.638442914786653,-113.240786500257357
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e+05, length_scale=26.5)",2.284655814677705,1.511507795109805,-198.179855509971446,1.325694315384953,0.809315413172486,0.638442842991596,-113.240776732936325
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),11.768544120000001,3.430531171699217,-220.195559248413076,2.513748994311087,-0.770134276872072,-0.862425546473579,-365.901684321480502
1**2 * 1**2,0.201**2 * 8.83**2,6.662464276031638,2.581174979739196,-207.649408429713219,2.513748994311087,-0.000886408152118,-0.054365225097097,-207.058147392004486
1**2 + 1**2,1.78**2 + 0.00402**2,6.662464274720840,2.581174979485281,-207.649408429713219,2.513748994311087,-0.000886408119830,-0.054365224889657,-207.058147304773996
1**2 * DotProduct(sigma_0=1),0.0664**2 * DotProduct(sigma_0=18.6),0.982769844714481,0.991347489387289,-193.382588657251233,0.984242157798847,0.838385121011961,0.844472209439266,-25.760188937613776
1**2 + DotProduct(sigma_0=1),0.284**2 + DotProduct(sigma_0=1.33),0.909598419522349,0.953728692827446,-195.575693028398945,0.947310632333259,0.844377037736055,0.856051919738190,-22.068965697306094
