kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.066130124157627,0.257157780667098,-186.558279902050174,0.145418836125173,-2.009458319995319,-2.127216934925971,-1791.657584063095328
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000582928761111,0.024143917683567,-191.381028701622114,0.022786425335391,0.964623079163571,0.972433974428111,-1.378093479268822
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.023010286800000,0.151691419665056,-187.566838101649637,0.145418836125173,-0.020098200387695,-0.088129796746555,-663.809418325159527
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=4.66e+04, nu=1.5)",0.023009926825687,0.151690233125562,-187.566841239153661,0.145417649507318,-0.020081701481717,-0.088112773978475,-663.799837845015190
RBF(length_scale=1),RBF(length_scale=6.12e+04),0.023010217182441,0.151691190193897,-187.566838708090131,0.145418606642770,-0.020095009965506,-0.088126504612871,-663.807564894658867
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.023010261061830,0.151691334827767,-187.566838327237747,0.145418751263896,-0.020097018785614,-0.088128579618304,-663.808736248453101
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.066137290000000,0.257171713063471,-186.558293935678364,0.145418836125173,-2.009820038769530,-2.127555799307464,-1791.797807903082685
1**2 * 1**2,0.00316**2 * 0.00316**2,0.066137289928332,0.257171712924132,-186.558249173459927,0.145418836125173,-2.009820035151854,-2.127555795918380,-1791.797806500690967
1**2 + 1**2,0.00316**2 + 0.00316**2,0.066122960175432,0.257143851132847,-186.558310629466376,0.145418836125173,-2.009096698863208,-2.126878158510102,-1791.517390944460658
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.042939053450199,0.207217406243295,-186.622155187188412,0.120604139428755,-0.947991608717059,-1.030538076702909,-1172.223467779477232
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000582908883705,0.024143506035889,-191.381039720995119,0.022786043583461,0.964624231293970,0.972434914407599,-1.377930174415461
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=1.99e+04, periodicity=0.000824)",0.066130124157645,0.257157780667133,-186.558279902050174,0.145418836125173,-2.009458319996233,-2.127216934926828,-1791.657584063450713
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=3.1e+04, periodicity=5.79)",0.023010272215456,0.151691371591981,-187.566842463161322,0.145418836125333,-0.020097838662209,-0.088129107060392,-663.808564843432464
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.066130124158565,0.257157780668922,-186.558279902051737,0.145418836123306,-2.009458320035492,-2.127216934970333,-1791.657584092345132
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1e+05, nu=1.5)",0.023010194023002,0.151691113856422,-187.566843140226268,0.145418578380219,-0.020094255098174,-0.088125409429840,-663.806483385555453
